fielddate	poiskInd_corr	RTRD	levada_IPN	USD
2004-01-01	3.45556075205175	396.5		28.838795
2004-02-01	9.761241217976018	397.4		28.51467368421052
2004-03-01	16.271263835310716	433.6		28.529261904761906
2004-04-01	18.35633236740153	435.6		28.685631818181815
2004-05-01	10.663158428377738	435.7		28.98921666666667
2004-06-01	4.589727742501308	440.5		29.029723809523805
2004-07-01	12.092213070718115	459.8		29.081926086956525
2004-08-01	9.18673735072394	475.4		29.21928571428571
2004-09-01	3.338278117695692	483.9		29.22208181818182
2004-10-01	6.368619256751027	508.6		29.0703
2004-11-01	12.684188409140345	521.2		28.59118500000001
2004-12-01	13.898908685944145	609.5		27.90402727272728
2005-01-01	1.8433749200947558	485.6		28.00908666666665
2005-02-01	10.020783362406448	488.7		27.99539473684211
2005-03-01	21.7390623600249	536.2		27.626422727272725
2005-04-01	4.544869606768504	553.1		27.81035454545455
2005-05-01	11.04597763706118	559.4		27.951377777777786
2005-06-01	21.0570161169748	561.6		28.49786666666666
2005-07-01	0.0	580.6		28.69443181818182
2005-08-01	15.171506663286527	600.6		28.47980909090909
2005-09-01	25.39444193056431	614.9		28.38001363636364
2005-10-01	15.582741706015888	638.6		28.56313333333333
2005-11-01	24.363487341243626	648.0		28.7625761904762
2005-12-01	21.534819584510625	771.0		28.8046
2006-01-01	23.061341387991266	593.3		28.228133333333336
2006-02-01	16.21104899349089	598.4		28.194605263157893
2006-03-01	26.236109856927595	661.5		27.87377272727273
2006-04-01	23.19053208604761	677.3		27.564476190476192
2006-05-01	25.410589068569827	687.6		27.052745
2006-06-01	17.550304138518783	698.8		26.98344761904761
2006-07-01	20.46185055362531	724.0		26.915823809523808
2006-08-01	18.3898890927758	750.1		26.76192173913043
2006-09-01	25.11807940561789	758.4		26.74634090909091
2006-10-01	15.360416617234302	791.9		26.86720476190477
2006-11-01	16.993054522784835	797.2		26.617409523809524
2006-12-01	14.382946086578634	954.9		26.288154545454546
2007-01-01	18.75072960061216	727.6		26.529043750000003
2007-02-01	12.689754300997365	728.3		26.3432894736842
2007-03-01	16.72872633558482	801.4		26.10559545454545
2007-04-01	21.749723616300702	826.0		25.83835714285714
2007-05-01	20.92747753954805	846.9		25.82405
2007-06-01	21.19456297402433	869.0		25.90930000000001
2007-07-01	19.84619516676021	902.9		25.54075238095239
2007-08-01	22.054797546204725	942.3		25.62369130434783
2007-09-01	28.490557365976766	953.2		25.33407142857143
2007-10-01	28.47547683303152	1003.9		24.89621363636364
2007-11-01	30.421006852958016	1023.2		24.46509523809524
2007-12-01	33.42724778276508	1241.5		24.57488636363637
2008-01-01	36.434511941023075	942.0		24.5000625
2008-02-01	32.32608382984352	962.3		24.52733000000001
2008-03-01	25.56325302715032	1047.2		23.76038
2008-04-01	21.784230835595388	1074.6		23.512913636363635
2008-05-01	22.95773929805904	1113.5		23.719609523809535
2008-06-01	30.720264367182907	1136.6		23.64323684210526
2008-07-01	30.053535506736303	1184.9		23.34789565217391
2008-08-01	20.684426206404268	1228.6		24.15333636363637
2008-09-01	44.89893658883585	1242.8	100.0	25.26993333333333
2008-10-01	77.75270083662133	1277.6	73.6842105263158	26.356378260869565
2008-11-01	60.67757112560919	1244.4	60.526315789473685	27.3337
2008-12-01	50.11377107813864	1460.1	47.368421052631575	28.15127272727273
2009-01-01	36.98856196524446	1101.0	30.26315789473684	32.49225294117647
2009-02-01	34.5163903785781	1071.8	13.157894736842106	35.814394736842104
2009-03-01	23.333529622414478	1151.3	15.789473684210524	34.657685
2009-04-01	26.55424083063562	1159.1	17.105263157894736	33.58326363636365
2009-05-01	20.465137505714495	1175.1	18.42105263157895	31.994805
2009-06-01	24.54287622018145	1187.1	31.578947368421048	31.058000000000003
2009-07-01	21.82910981759323	1220.1	39.473684210526315	31.50815217391305
2009-08-01	24.296762632801123	1229.7	50.0	31.649661904761913
2009-09-01	23.043447757364287	1234.9	39.473684210526315	30.85668636363637
2009-10-01	21.692783163573488	1275.6	47.368421052631575	29.463986956521744
2009-11-01	18.656822703855614	1266.9	42.10526315789474	28.90348947368421
2009-12-01	19.871803589844305	1529.9	68.42105263157895	29.95893478260869
2010-01-01	13.707730233679047	1193.6	55.26315789473684	29.83873125
2010-02-01	17.166214967168063	1163.9	52.631578947368425	30.15796842105264
2010-03-01	18.73764294249145	1268.2	55.26315789473684	29.55939523809524
2010-04-01	22.346922937209968	1280.3	52.631578947368425	29.19323636363637
2010-05-01	23.61354941819692	1317.6	65.78947368421052	30.43492105263158
2010-06-01	22.855075218798532	1336.6	65.78947368421052	31.174338095238088
2010-07-01	25.087446089975447	1380.8	65.78947368421052	30.679113043478264
2010-08-01	17.093477598116547	1414.6	65.78947368421052	30.351004761904765
2010-09-01	22.125305395663467	1408.4	60.526315789473685	30.81185909090909
2010-10-01	20.084279493658627	1462.6	71.05263157894737	30.32283636363636
2010-11-01	22.085821135367933	1470.9	71.05263157894737	30.986640000000005
2010-12-01	22.01068383254013	1771.1	78.94736842105263	30.85773043478261
2011-01-01	11.654337915681412	1360.9	52.631578947368425	29.991920000000004
2011-02-01	16.357911060731524	1354.1	44.73684210526316	29.32114736842106
2011-03-01	19.02492258856381	1465.1	57.89473684210525	28.46368636363637
2011-04-01	22.990719718738852	1484.7	55.26315789473684	28.084022727272725
2011-05-01	26.39665886945703	1532.2	63.157894736842096	27.934284210526318
2011-06-01	22.452922221692944	1551.4	71.05263157894737	27.987147619047608
2011-07-01	41.01913120871827	1599.2	60.526315789473685	27.912254545454548
